,accuracy,precision,recall,f1,roc_auc,cv_f1_mean,cv_f1_std
Logistic Regression,0.8214285714285714,0.7,0.7777777777777778,0.7368421052631579,0.8713450292397661,0.709221772379667,0.12711235712850907
Random Forest,0.8928571428571429,0.875,0.7777777777777778,0.8235294117647058,0.9766081871345029,0.7714285714285715,0.08597842897746569
Gradient Boosting,0.8928571428571429,0.875,0.7777777777777778,0.8235294117647058,0.9473684210526316,0.7495262632104737,0.03109298852180548
Support Vector Machine,0.8214285714285714,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.9415204678362572,0.8239775910364144,0.07427008044503702
